card_name,oracle_tags
"Elvish Archdruid","acceleration|activated-ability|adds-multiple-mana|anthem|cycle|cycle-m10-typal-lord|cycle-m11-typal-lord|kindred|lord|mana-dork|mana-producer|mana-ramp|noncreature-tribal|noncreature-typal|power-boost-to-all|ramp|tribal|tribal-elf|typal|typal-creature|typal-elf"
"Elvish Champion Avatar","acceleration|mana-ramp|opening-card|paper-compatible|ramp|start-of-game"
"Elvish Guidance","acceleration|adds-multiple-mana|kindred|mana-doubler|mana-flare|mana-increaser|mana-ramp|noncreature-tribal|noncreature-typal|ramp|tribal|tribal-elf|typal|typal-creature|typal-elf|uninspired|wild-growth"
"Elvish Harbinger","acceleration|activated-ability|cycle|cycle-lrw-harbinger|kindred|library-manipulation|mana-dork|mana-producer|mana-ramp|noncreature-tribal|noncreature-typal|ramp|top-deck-manipulation|tribal|tribal-elf|tutor|tutor-creature|tutor-creature-elf|tutor-elf|tutor-permanent-elf|tutor-to|tutor-to-top|tutor-totop|typal|typal-creature|typal-elf"
"Elvish Impersonation Contest","acceleration|creates-token-of-a-card|mana-ramp|ramp|repeatable-creature-tokens|repeatable-token-generator|shapechange|token-versions-of-cards"
"Elvish Mystic","acceleration|activated-ability|mana-dork|mana-producer|mana-ramp|ramp"
"Elvish Pioneer","acceleration|cares-about-basic-land|extra-land|flavors-of-vanilla|mana-ramp|ramp|sneak-land|virtual-vanilla"
"Elvish Rejuvenator","acceleration|card-advantage|cheat-mana|cost-ignorer|extra-land|flavors-of-vanilla|free-casting|impulse|impulse-land|impulse-onto-battlefield|impulse-to-zone|mana-ramp|ramp|sneak-from-library|virtual-vanilla"
"Elvish Spirit Guide","acceleration|activate-from-hand|activated-ability|cheaper-than-mv|creature-type-erratum|mana-ramp|manaless-value|ramp|type-errata|unique-type-line"
"Embermouth Sentinel","acceleration|dragon-tribal|kindred|library-manipulation|mana-ramp|ramp|self-replacement-effect|top-deck-manipulation|tribal|tribal-dragon|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|tutor-to-top|tutor-totop|typal|typal-creature|typal-dragon"
"Embodiment of Spring","acceleration|activated-ability|cycle|cycle-ktk-enemy-ability|mana-ramp|martyr|offcolor-ability|ramp|sacrifice-self|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Emerald Collector","acceleration|activated-ability|card-advantage|conjure|conjure-artifact|conjure-named|conjure-to-hand|curiosity|curiosity-like|cycle|draw|draw-card|draw-matters|mana-producer|mana-ramp|offcolor-ability|pure-draw|ramp|saboteur|shapechange"
"Emerald Medallion","acceleration|cost-reducer|cycle|mana-ramp|ramp|synergy-green"
"Emergency Eject","acceleration|alliteration|artifact-removal|beast-within|card-names|creature-removal|donate-rampant-growth|donate-token|enchantment-removal|mana-ramp|naming-scheme|planeswalker-removal|pongify|ramp|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-destroy|removal-enchantment|removal-equipment|removal-nonland|removal-planeswalker|removal-spacecraft|removal-vehicle|single-target-instant-sorcery|single-target-spell|spot-removal|swap-removal|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Emergent Sequence","acceleration|animate|animate-land|card-names|color-change|gives-1-1-counters|gives-pp-counters|landfall|lands-matter|mana-ramp|mathy-name|naming-scheme|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|staple-with-sets-mechanic|synergy-land|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|type-change|unnoted-tracked-information"
"Emergent Woodwurm","acceleration|attack-trigger|card-advantage|cheat-mana|combat-mana|cost-ignorer|extra-land|free-casting|gives-1-1-counters|gives-pp-counters|impulse|impulse-onto-battlefield|impulse-permanent|impulse-to-zone|mana-ramp|power-matters|power-matters-self|ramp|sneak-from-library|synergy-attacker|synergy-attacker-self"
"Emissary Green","acceleration|attack-trigger|combat-mana|gains-pp-counters|gives-1-1-counters|gives-1-1-counters-to-all|gives-counters-to-all|gives-pp-counters|gives-pp-counters-to-all|mana-ramp|named-choice|power-boost-to-all|ramp|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|synergy-attacker-self|voting"
"Empowered Autogenerator","acceleration|activated-ability|adds-multiple-mana|counters-matter|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp"
"Emrakul and Chatterfang","acceleration|cast-trigger|cast-trigger-self|cda|cda-color|characteristic-defining-ability|enters-in-company|evasion|legendary-team-up|mana-ramp|multi-character-card|multiple-bodies|ramp|refund|unique-protection|unique-type-line|unprinted-token"
"Emrakul's Hatcher","acceleration|card-names|enters-in-company|flavors-of-vanilla|mana-ramp|multiple-bodies|namesake-spell|naming-scheme|ramp|refund|virtual-vanilla"
"Emrakul's Messenger","acceleration|card-names|cda|cda-color|characteristic-defining-ability|draw-matters|evasion|mana-ramp|namesake-spell|naming-scheme|ramp|repeatable-creature-tokens|repeatable-token-generator|second-draw-matters|unique-type-line"
"Encroaching Dragonstorm","acceleration|alliance|bounce-self|creaturefall|dragon-tribal|etb-other-creature|kindred|mana-ramp|noncreature-tribal|noncreature-typal|ramp|tribal|tribal-dragon|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|typal|typal-creature|typal-dragon"
"Endrider Catalyzer","acceleration|activated-ability|adds-multiple-mana|intervening-if-clause|life-loss-matters|mana-dork|mana-producer|mana-ramp|ramp"
"Endurance Bobblehead","acceleration|activated-ability|gives-indestructible|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|multiple-targets|protects-creature|protects-permanent|ramp|refund|synergy-bobblehead|utility-mana-rock"
"Enduring Vitality","acceleration|cheat-death|cheat-death-self|creature-reanimation-automatic|cycle|cycle-dsk-glimmer|death-trigger|death-trigger-self|deathtrigger|enchantmentize|gives-mana-ability|intervening-if-clause|leaves-battlefield-trigger|mana-dork|mana-producer|mana-ramp|ramp|tap-fuel-creature|type-change|unique-type-line"
"Energy Tap","acceleration|adds-multiple-mana|cmc-matters|converted-mana-cost-matters|mana-ramp|mana-value-matters|ramp|ritual|single-target-instant-sorcery|single-target-spell|tap-fuel-creature"
"Enigma Ridges","acceleration|card-advantage|catch-up|draw|draw-card|extra-land|group-hug|mana-ramp|pure-draw|ramp|repeatable-draw|sneak-land|tutor|tutor-hand|tutor-land|tutor-land-basic|tutor-to|tutor-to-hand"
"Ensoul Ring","acceleration|adds-multiple-mana|artifact-removal|artifactify|becomes-artifact|card-names|color-change|creature-removal|enchantment-removal|gives-mana-ability|humble|mana-ramp|naming-scheme|planeswalker-removal|punny-name|ramp|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-enchantment|removal-equipment|removal-nonland|removal-planeswalker|removal-spacecraft|removal-vehicle|type-change"
"Enterprising Scallywag","acceleration|bear-with-set-mechanic|bear-with-sets-mechanic|intervening-if-clause|mana-ramp|ramp|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|staple-with-sets-mechanic"
"Enter the Unknown","acceleration|extra-land|gives-1-1-counters|gives-pp-counters|library-manipulation|mana-ramp|mill|mill-self|play-additional-land|ramp|self-mill|single-target-instant-sorcery|single-target-spell|surveil|top-deck-manipulation"
"Enthusiastic Mechanaut","acceleration|cost-reducer|cost-reducer-artifact|cycle|cycle-neo-draft-signpost|draft-signpost|evasion|mana-ramp|ramp|synergy-artifact|unique-type-line"
"Entish Restoration","acceleration|ferocious|land-sacrifice|mana-ramp|power-matters|ramp|sac-outlet|sacrifice-outlet|sacrifice-outlet-land|self-replacement-effect|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Erinis, Gloom Stalker","acceleration|attack-trigger|combat-mana|cycle|cycle-clb-back-enemy-legend|mana-ramp|pair-commander|ramp|reanimate|reanimate-land|recursion|recursion-land|resurrect|synergy-attacker-self|unique-type-line|zombify"
"Escape to the Wilds","acceleration|bottle-draw|card-advantage|cast-from-exile|cast-from-nonhand|cycle|cycle-eld-rare-mythic-gold|extra-land|gives-castable-from-exile|gives-castable-from-nonhand|impulse-draw|impulsive-draw|mana-ramp|play-additional-land|ramp|red-effect"
"Esika, God of the Tree // The Prismatic Bridge","acceleration|activated-ability|bigger-than-mv|card-advantage|cheat-mana|consult|consult-onto-battlefield|cost-ignorer|cycle|cycle-khm-m-god|free-casting|genesis-effect|gives-mana-ability|gives-vigilance|mana-dork|mana-producer|mana-ramp|more-expensive-than-mv|ramp|sneak-from-library|synergy-legendary|tap-fuel-creature"
"Esper Origins // Summon: Esper Maduin","acceleration|adds-multiple-mana|card-advantage|castable-from-graveyard|castable-from-nonhand|flashback|gives-trample|impulse|impulse-permanent|library-manipulation|life-gain|lifegain|mana-producer|mana-ramp|mill|mill-self|mixed-subtypes|non-mana-ability-mana|overrun|power-boost-to-all|ramp|self-mill|surveil|synergy-graveyard-cast|top-deck-manipulation"
"Essence Feed","acceleration|drain-life|inverted-effects|life-drain|life-gain|lifegain|mana-ramp|multiple-bodies|opponent-loses-life|ramp|refund|single-target-instant-sorcery|single-target-spell"
"Estrid, the Masked","acceleration|activated-ability|cycle|cycle-c18-planeswalker|extra-untap|face-commander|faux-targeting|mana-ramp|mill|mill-self|non-creature-commander|protects-permanent|ramp|reanimate|reanimate-aura|reanimate-enchantment|recursion|recursion-enchantment|repeatable-noncreature-tokens|repeatable-token-generator|resurrect|self-mill|synergy-aura|synergy-enchantment|unique-noncreature-token|unique-planeswalker-type|unique-token|unique-type-line|untap-creature|untap-land|untapper|untapper-artifact|untapper-creature|untapper-land|untapper-nonland|untapper-permanent|zombify"
"Eternal Dominion","acceleration|control-changing-effects|cycle|cycle-sok-epic-sorcery|delayed-triggered-ability|mana-ramp|ramp|single-target-instant-sorcery|single-target-spell|theft|theft-artifact|theft-creature|theft-enchantment|theft-land|tutor|tutor-artifact|tutor-battlefield|tutor-creature|tutor-enchantment|tutor-from-opponent|tutor-land|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-opponent|tutor-to|tutor-to-battlefield"
"Etherium Sculptor","acceleration|cost-reducer|cost-reducer-artifact|mana-ramp|ramp|synergy-artifact|unique-type-line"
"Eureka Moment","acceleration|card-advantage|draw|draw-card|extra-land|mana-ramp|pure-draw|ramp|sneak-land"
"Evendo Brushrazer","acceleration|activated-ability|adds-multiple-mana|bottle-draw|card-advantage|cast-from-exile|cast-from-nonhand|gives-castable-from-exile|gives-castable-from-nonhand|impulse-draw|impulsive-draw|land-sacrifice|mana-dork|mana-producer|mana-ramp|ramp|red-effect|sac-outlet|sacrifice-outlet|sacrifice-outlet-land|synergy-sacrifice"
"Evendo, Waking Haven","acceleration|activated-ability|adds-multiple-mana|creature-count-matters|cycle|cycle-eoe-planet|cycle-land|cycle-mono-land|mana-ramp|power-matters|ramp|staple-with-sets-mechanic|tap-fuel-creature|tapland|tapland-with-set-mechanic|tapland-with-sets-mechanic"
"Everbark Shaman","acceleration|activated-ability|graveyard-fuel|kindred|mana-ramp|noncreature-tribal|noncreature-typal|ramp|tribal|tribal-treefolk|tutor|tutor-battlefield|tutor-forest|tutor-land|tutor-land-forest|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|typal|typal-creature|typal-treefolk"
"Everflowing Chalice","acceleration|activated-ability|adds-multiple-mana|bigger-than-mv|counters-matter|mana-producer|mana-ramp|mana-rock|mana-rock-with-sets-mechanic|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|more-expensive-than-mv|ramp|refund|staple-with-sets-mechanic"
"Everythingamajig","acceleration|activated-ability|adds-multiple-mana|animate|animate-self|becomes-creature|border-color-matters|burn|burn-creature|card-advantage|cheat-into-play|cheat-mana|coin-flip|control-changing-effects|cost-ignorer|counter-movement|counters-matter|creature-removal|cycle|discard|discard-outlet|discard-with-sets-mechanic|discardoutlet|draw|draw-card|egg|exchange-control|flavor-text-matters|free-casting|free-sac-outlet|free-sacrifice-outlet|gives-1-1-counters|gives-pp-counters|hand-disruption|hand-size-matters|handsize-matters|hellbent|high-hand-size-matters|land-sacrifice|library-manipulation|life-gain|life-payment|lifegain|low-hand-size-matters|mana-dump|mana-producer|mana-ramp|mana-rock|mana-sink|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|minigame|move-counters|name-matters|non-acorn-silver-border|potentially-black-border|pure-draw|ramp|refund|removal|removal-burn|removal-creature|removal-creature-burn|repeatable-creature-tokens|repeatable-crime|repeatable-draw|repeatable-removal|repeatable-token-generator|rules-text-matters|sac-outlet|sacrifice-outlet|sacrifice-outlet-creature|sacrifice-outlet-land|sacrifice-self|set-life-total|silver-border-mechanics|sneak|sneak-permanent|sneak-permanent-any|speech-matters|spot-removal|staple-with-sets-mechanic|theft|theft-exchange|theft-permanent|tome|top-deck-manipulation|tutor|tutor-card|tutor-hand|tutor-to|tutor-to-hand|type-change|un-design|un-set-mechanics|unstable-variant|utility-mana-rock|virtual-proliferate"
"Evin, Waterdeep Opportunist","acceleration|evasion|mana-ramp|ramp|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|synergy-sacrifice|synergy-treasure"
"Excavation Explosion","acceleration|alliteration|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|burn-with-set-mechanic|burn-with-sets-mechanic|card-names|creature-removal|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|naming-scheme|planeswalker-removal|ramp|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|restricted-mana|single-target-instant-sorcery|single-target-spell|staple-with-sets-mechanic|utility-mana-rock"
"Excavation Technique","acceleration|artifact-removal|beast-within|cast-trigger|cast-trigger-self|creature-removal|cycle|cycle-c21-technique|donate-token|enchantment-removal|group-hug|mana-ramp|planeswalker-removal|pongify|ramp|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-destroy|removal-enchantment|removal-equipment|removal-nonland|removal-planeswalker|removal-spacecraft|removal-vehicle|selective-group-hug|single-target-instant-sorcery|single-target-spell|spot-removal|swap-removal"
"Exhibition Magician","acceleration|card-names|enters-in-company|flavors-of-vanilla|mana-ramp|modal|multiple-bodies|naming-scheme|out-of-color-token|ramp|refund|rhyming-name|virtual-vanilla"
"Exit Through the Grift Shop","acceleration|bid|card-names|copy|copy-aura|copy-creature|copy-equipment|copy-instant|copy-planeswalker|copy-sorcery|donate-token|free-cast-another|life-gain|lifegain|mana-ramp|naming-scheme|players-outside-game-matter|punny-name|ramp|refund|silver-border-mechanics|speech-matters|un-design|un-set-mechanics"
"Expand the Sphere","acceleration|card-advantage|cheat-mana|cost-ignorer|extra-land|free-casting|impulse|impulse-land|impulse-onto-battlefield|impulse-to-zone|mana-ramp|ramp|sneak-from-library"
"Exploding Borders","acceleration|burn|burn-planeswalker|burn-player|cycle|cycle-con-allied-common|mana-ramp|planeswalker-removal|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|removal|removal-burn|removal-planeswalker|removal-planeswalker-burn|single-target-instant-sorcery|single-target-spell|staple-with-sets-mechanic|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Exploration","acceleration|card-names|extra-land|mana-ramp|naming-scheme|play-additional-land|ramp|single-english-word-name|usg-storyline-in-cards"
"Exploration Broodship","acceleration|activated-ability|animate|animate-self|becomes-creature|evasion|extra-land|gains-flying|land-sacrifice|mana-ramp|play-additional-land|power-matters|ramp|reanimate|reanimate-cast|reanimate-permanent|recursion|recursion-permanent|resurrect|sac-outlet|sacrifice-outlet|sacrifice-outlet-land|tap-fuel-creature|type-change|zombify"
"Explore","acceleration|cantrip|card-advantage|card-names|draw|draw-card|extra-land|mana-ramp|naming-scheme|play-additional-land|pure-draw|ramp|shares-name-with-a-mechanic|single-english-word-name"
"Explorer's Scope","acceleration|activated-ability|attack-trigger|cheat-mana|combat-mana|cost-ignorer|extra-land|free-casting|mana-ramp|ramp|sneak-from-library|sneak-land|synergy-attacker"
"Explore the Underdark","acceleration|cycle|cycle-clb-uncommon-initiative|gives-1-1-counters|gives-pp-counters|library-manipulation|mana-ramp|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|staple-with-sets-mechanic|synergy-gate|take-initiative|take-the-initiative|top-deck-manipulation|tutor|tutor-battlefield|tutor-gate|tutor-hand|tutor-land|tutor-land-basic|tutor-land-gate|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|tutor-to-hand"
"Explosive Vegetation","acceleration|mana-ramp|ramp|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Explosive Welcome","acceleration|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|creature-removal|mana-ramp|multiple-targets|planeswalker-removal|ramp|refund|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|ritual"
"Expropriate","acceleration|card-names|control-changing-effects|exile-on-resolution|exile-self|exiles-self|extra-turn|faux-targeting|fun-ruling|mana-ramp|named-choice|naming-scheme|ramp|single-english-word-name|theft|theft-permanent|voting"
"Extraplanar Lens","acceleration|mana-doubler|mana-flare|mana-increaser|mana-ramp|ramp|symmetrical|synergy-monocolor|uninspired|wild-growth"
"Exuberant Firestoker","acceleration|activated-ability|burn|burn-planeswalker|burn-player|cycle|cycle-naya-druid|intervening-if-clause|mana-dork|mana-producer|mana-ramp|naya-ferocious|planeswalker-removal|power-matters|ramp|removal|removal-burn|removal-planeswalker|removal-planeswalker-burn|repeatable-crime|repeatable-removal|unique-type-line"
"Eyeless Watcher","acceleration|cda|cda-color|characteristic-defining-ability|enters-in-company|mana-ramp|multiple-bodies|ramp|refund"
"Eye of Ojer Taq // Apex Observatory","acceleration|activated-ability|card-names|commander-set-booster-cards|free-cast-another|graveyard-fuel|mana-producer|mana-ramp|mana-rock|mana-rock-with-sets-mechanic|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|namesake-spell|naming-scheme|ramp|staple-with-sets-mechanic|utility-mana-rock"
"Eye of Ramos","acceleration|activated-ability|card-names|cycle|cycle-mmq-ramos-artifact|cycle-ramos-artifact|egg|mana-egg|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|manarock-egg|namesake-spell|naming-scheme|ramp|refund|sacrifice-self"
"Eye of Ugin","acceleration|activated-ability|card-names|colourless-matters|cost-reducer|kindred|mana-ramp|manaless-land|mechanical-foreshadow|namesake-spell|naming-scheme|noncreature-tribal|noncreature-typal|ramp|synergy-colorless|tribal|tribal-eldrazi|tutor|tutor-creature|tutor-creature-colorless|tutor-hand|tutor-to|tutor-to-hand|typal|typal-creature|typal-eldrazi|utility-land"
"Ezzaroot Channeler","acceleration|activated-ability|cost-reducer|cost-reducer-creature|life-gain|lifegain|lifegain-matters|mana-ramp|ramp|synergy-lifegain|unnoted-tracked-information"
"Fable of the Mirror-Breaker // Reflection of Kiki-Jiki","acceleration|activated-ability|attack-trigger|blink|card-advantage|card-names|combat-mana|copy|copy-creature|delayed-triggered-ability|discard-outlet|discardoutlet|draw|exile-self|exiles-self|flicker|flicker-dfc-transform|flicker-self|mana-dork|mana-producer|mana-ramp|namesake-spell|naming-scheme|pillage-effect|ramp|red-effect|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|rhyming-name|rummage|synergy-attacker|temporary-token|unique-token|unique-type-line"
"Fabrication Foundry","acceleration|activated-ability|alliteration|card-names|cmc-matters|converted-mana-cost-matters|mana-producer|mana-ramp|mana-rock|mana-value-matters|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|naming-scheme|ramp|reanimate|reanimate-artifact|recursion|recursion-artifact|refund|restricted-mana|resurrect|synergy-artifact|utility-mana-rock|zombify"
"Faeburrow Elder","acceleration|activated-ability|adds-multiple-mana|cycle|cycle-eld-rare-mythic-gold|mana-dork|mana-producer|mana-ramp|ramp|synergy-color-each"
"Fae Offering","acceleration|card-advantage|draw|draw-card|intervening-if-clause|life-gain|lifegain|mana-ramp|pure-draw|ramp|repeatable-clues|repeatable-draw|repeatable-food|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|synergy-noncreature"
"Fain, the Broker","acceleration|activated-ability|counter-fuel|counter-fuel-any|counter-fuel-other|counters-matter|gives-1-1-counters|gives-pp-counters|mana-dork|mana-dump|mana-producer|mana-ramp|mana-sink|out-of-color-token|ramp|repeatable-creature-tokens|repeatable-noncreature-tokens|repeatable-token-generator|repeatable-treasures|sac-outlet|sacrifice-outlet|sacrifice-outlet-artifact|sacrifice-outlet-creature|synergy-artifact|untapper-self|untaps-self"
"Faith's Reward","acceleration|cheat-death|creature-reanimation-automatic|mana-ramp|ramp|reanimate|reanimate-permanent|recursion|recursion-permanent|resurrect|unnoted-tracked-information|zombify"
"Fake Your Own Death","acceleration|card-names|cheat-death|combat-trick|creature-reanimation-automatic|death-trigger|deathtrigger|leaves-battlefield-trigger|mana-ramp|mob-name|naming-scheme|protects-creature|protects-permanent|ramp|refund|single-target-instant-sorcery|single-target-spell"
"Fallaji Excavation","acceleration|life-gain|lifegain|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|restricted-mana|staple-with-sets-mechanic|utility-mana-rock"
"Fallaji Wayfarer","acceleration|cda|cda-color|characteristic-defining-ability|cost-reducer|gives-convoke|mana-dork|mana-producer|mana-ramp|ramp|synergy-color-multi|synergy-color-share|synergy-multicolor|tap-fuel-creature"
"Famous Museum","acceleration|activated-ability|adds-multiple-mana|aesthetic-counter|death-trigger|deathtrigger|leaves-battlefield-trigger|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp"
"Fanatic of Rhonas","acceleration|activate-from-graveyard|activated-ability|adds-multiple-mana|card-names|eternalize-token|exile-self|exiles-self|ferocious|graveyard-fuel-self|mana-dork|mana-producer|mana-ramp|mix-and-match|namesake-spell|naming-scheme|power-matters|ramp|renew"
"Fangorn, Tree Shepherd","acceleration|attack-trigger|combat-mana|gives-vigilance|kindred|mana-ramp|mana-storage|ramp|synergy-attacker|tribal|tribal-treefolk|typal|typal-creature|typal-treefolk|unique-p-t"
"Farhaven Elf","acceleration|flavors-of-vanilla|mana-ramp|ramp|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|virtual-vanilla"
"Farseek","acceleration|mana-ramp|ramp|tutor|tutor-battlefield|tutor-island|tutor-land|tutor-land-island|tutor-land-mountain|tutor-land-plains|tutor-land-swamp|tutor-land-to-battlefield|tutor-mountain|tutor-onto-battlefield|tutor-plains|tutor-swamp|tutor-to|tutor-to-battlefield"
"Far Wanderings","acceleration|cards-in-graveyard-matter|mana-ramp|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|self-replacement-effect|staple-with-sets-mechanic|threshold|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Fastbond","acceleration|extra-land|intervening-if-clause|life-payment|mana-ramp|play-additional-land|ramp"
"Fatestitcher","acceleration|activate-from-graveyard|activated-ability|delayed-triggered-ability|mana-dork|mana-producer|mana-ramp|ramp|reanimate|reanimate-self|recursion|recursion-self|repeatable-crime|resurrect|self-reanimate|tap-artifact|tap-creature|tapper|tapper-artifact|tapper-creature|tapper-land|tapper-permanent|tapper-planeswalker|temporary-reanimation|twiddle|untap-creature|untap-land|untapper|untapper-artifact|untapper-creature|untapper-land|untapper-nonland|untapper-permanent|zombify"
"Fecund Greenshell","acceleration|alliance|card-advantage|cheat-mana|cost-ignorer|creaturefall|draw|draw-card|etb-other-creature|extra-land|free-casting|land-or-hand|lands-matter|mana-ramp|power-boost-to-all|pure-draw|ramp|repeatable-draw|sneak-from-library|sneak-land|synergy-land|toughness-matters|unique-type-line"
"Fellwar Stone","acceleration|activated-ability|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp|refund"
"Fertile Ground","acceleration|mana-doubler|mana-flare|mana-increaser|mana-ramp|ramp|uninspired|usg-storyline-in-cards|wild-growth"
"Fertilid","acceleration|activated-ability|counter-fuel|counter-fuel-any|counter-fuel-pp|counters-matter|cycle|cycle-mor-0-0-elemental|donate-rampant-growth|gains-pp-counters|group-hug|mana-ramp|pp-counters-matter|ramp|repeatable-crime|selective-group-hug|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Fertilid's Favor","acceleration|alliteration|card-names|combat-trick|donate-rampant-growth|enlarge|giant-growth|gives-1-1-counters|gives-pp-counters|group-hug|mana-ramp|multiple-targets|naming-scheme|ramp|selective-group-hug|single-target-instant-sorcery|single-target-spell|synergy-artifact|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Fieldmist Borderpost","acceleration|activated-ability|bounce|cares-about-basic-land|cheaper-than-mv|cycle|cycle-arb-borderposts|mana-producer|mana-ramp|mana-rock|mana-rock-with-sets-mechanic|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp|rescue|rescue-land|staple-with-sets-mechanic"
"Field Trip","acceleration|card-advantage|discard-outlet|discardoutlet|draw|mana-ramp|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|red-effect|rummage|staple-with-sets-mechanic|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-basic-forest|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-sideboard|tutor-to|tutor-to-battlefield|wish"
"Fiery Gambit","acceleration|burn|burn-creature|burn-player|card-advantage|coin-flip|creature-removal|draw|draw-card|fun-ruling|mana-ramp|pure-draw|ramp|refund|removal|removal-burn|removal-creature|removal-creature-burn|single-target-instant-sorcery|single-target-spell|spot-removal|untap-land|untapper|untapper-land"
"Find the Path","acceleration|d-d-spell|dnd|dnd-spell|gives-mana-ability|mana-ramp|ramp|ramp-with-set-mechanic|ramp-with-sets-mechanic|staple-with-sets-mechanic"
"Firebrand Ranger","acceleration|activated-ability|cares-about-basic-land|creature-type-erratum|cycle|cycle-inv-allied-t-ability|extra-land|mana-ramp|offcolor-ability|ramp|sneak-land|type-addition-human|type-errata|type-errata-addition"
"Fire Diamond","acceleration|activated-ability|cycle|cycle-mir-diamonds|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp"
"Firemind Vessel","acceleration|activated-ability|adds-multiple-mana|mana-producer|mana-ramp|mana-rock|manarock|manarock-any-color|manarock-c|manarock-cc|manarock-ccc|manarock-chosen-color|ramp"
